"Displacements","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
1,0,0,0,0,0,0,0,0,0,0,0,0,0.48565,1.7944e-15,0,0.48565,0,0,0,45,0,0,0,0,0,0
0.99029,0,0,0,0,0,0,0,0,0,0,0,0,0.48542,0.00022951,0,0.48542,0,0,0,45,0,0,0,0.01,0,0
0.98058,0,0,0,0,0,0,0,0,0,0,0,0,0.48473,0.00045652,0,0.48474,0,0,0,45,0,0,0,0.02,0,0
0.9709,0,0,0,0,0,0,0,0,0,0,0,0,0.4836,0.00067851,0,0.4836,0,0,0,45,0,0,0,0.03,0,0
0.96124,0,0,0,0,0,0,0,0,0,0,0,0,0.48204,0.0008929,0,0.48204,0,0,0,45,0,0,0,0.04,0,0
0.95162,0,0,0,0,0,0,0,0,0,0,0,0,0.48006,0.0010971,0,0.48006,0,0,0,45,0,0,0,0.05,0,0
0.94204,0,0,0,0,0,0,0,0,0,0,0,0,0.47768,0.0012883,0,0.47768,0,0,0,45,0,0,0,0.06,0,0
0.93251,0,0,0,0,0,0,0,0,0,0,0,0,0.47494,0.0014638,0,0.47494,0,0,0,45,0,0,0,0.07,0,0
0.92304,0,0,0,0,0,0,0,0,0,0,0,0,0.47187,0.0016208,0,0.47187,0,0,0,45,0,0,0,0.08,0,0
0.91363,0,0,0,0,0,0,0,0,0,0,0,0,0.46851,0.0017565,0,0.46851,0,0,0,45,0,0,0,0.09,0,0
0.9043,0,0,0,0,0,0,0,0,0,0,0,0,0.4649,0.0018682,0,0.4649,0,0,0,45,0,0,0,0.1,0,0
0.89504,0,0,0,0,0,0,0,0,0,0,0,0,0.46109,0.0019533,0,0.4611,0,0,0,45,0,0,0,0.11,0,0
0.88585,0,0,0,0,0,0,0,0,0,0,0,0,0.45715,0.0020094,0,0.45716,0,0,0,45,0,0,0,0.12,0,0
0.87675,0,0,0,0,0,0,0,0,0,0,0,0,0.45313,0.0020347,0,0.45313,0,0,0,45,0,0,0,0.13,0,0
0.86773,0,0,0,0,0,0,0,0,0,0,0,0,0.44909,0.0020274,0,0.44909,0,0,0,45,0,0,0,0.14,0,0
0.85879,0,0,0,0,0,0,0,0,0,0,0,0,0.4451,0.0019868,0,0.4451,0,0,0,45,0,0,0,0.15,0,0
0.84993,0,0,0,0,0,0,0,0,0,0,0,0,0.44122,0.0019126,0,0.44122,0,0,0,45,0,0,0,0.16,0,0
0.84114,0,0,0,0,0,0,0,0,0,0,0,0,0.43752,0.0018052,0,0.43753,0,0,0,45,0,0,0,0.17,0,0
0.83242,0,0,0,0,0,0,0,0,0,0,0,0,0.43407,0.0016662,0,0.43408,0,0,0,45,0,0,0,0.18,0,0
0.82378,0,0,0,0,0,0,0,0,0,0,0,0,0.43093,0.0014975,0,0.43093,0,0,0,45,0,0,0,0.19,0,0
