"Displacements","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.99514,0,0,0,0,0,0,0,0,0,0,0,0,0.48565,0.00017245,0,0.48565,0,0,0,45,0,0,0,0,0,0
0.99029,0,0,0,0,0,0,0,0,0,0,0,0,0.48542,0.00034396,0,0.48542,0,0,0,45,0,0,0,0.01,0,0
0.98058,0,0,0,0,0,0,0,0,0,0,0,0,0.48473,0.00068416,0,0.48474,0,0,0,45,0,0,0,0.02,0,0
0.9709,0,0,0,0,0,0,0,0,0,0,0,0,0.4836,0.0010168,0,0.48361,0,0,0,45,0,0,0,0.03,0,0
0.96124,0,0,0,0,0,0,0,0,0,0,0,0,0.48204,0.0013381,0,0.48204,0,0,0,45,0,0,0,0.04,0,0
0.95162,0,0,0,0,0,0,0,0,0,0,0,0,0.48006,0.001644,0,0.48006,0,0,0,45,0,0,0,0.05,0,0
0.94204,0,0,0,0,0,0,0,0,0,0,0,0,0.47768,0.0019304,0,0.47769,0,0,0,45,0,0,0,0.06,0,0
0.93251,0,0,0,0,0,0,0,0,0,0,0,0,0.47494,0.0021934,0,0.47495,0,0,0,45,0,0,0,0.07,0,0
0.92304,0,0,0,0,0,0,0,0,0,0,0,0,0.47187,0.0024285,0,0.47188,0,0,0,45,0,0,0,0.08,0,0
0.91363,0,0,0,0,0,0,0,0,0,0,0,0,0.46851,0.0026318,0,0.46852,0,0,0,45,0,0,0,0.09,0,0
0.9043,0,0,0,0,0,0,0,0,0,0,0,0,0.4649,0.002799,0,0.46491,0,0,0,45,0,0,0,0.1,0,0
0.89504,0,0,0,0,0,0,0,0,0,0,0,0,0.4611,0.0029263,0,0.46111,0,0,0,45,0,0,0,0.11,0,0
0.88586,0,0,0,0,0,0,0,0,0,0,0,0,0.45715,0.0030103,0,0.45717,0,0,0,45,0,0,0,0.12,0,0
0.87675,0,0,0,0,0,0,0,0,0,0,0,0,0.45313,0.0030479,0,0.45314,0,0,0,45,0,0,0,0.13,0,0
0.86773,0,0,0,0,0,0,0,0,0,0,0,0,0.44909,0.003037,0,0.4491,0,0,0,45,0,0,0,0.14,0,0
0.85879,0,0,0,0,0,0,0,0,0,0,0,0,0.4451,0.002976,0,0.44511,0,0,0,45,0,0,0,0.15,0,0
0.84993,0,0,0,0,0,0,0,0,0,0,0,0,0.44122,0.0028647,0,0.44123,0,0,0,45,0,0,0,0.16,0,0
0.84114,0,0,0,0,0,0,0,0,0,0,0,0,0.43752,0.0027039,0,0.43754,0,0,0,45,0,0,0,0.17,0,0
0.83243,0,0,0,0,0,0,0,0,0,0,0,0,0.43407,0.0024956,0,0.43408,0,0,0,45,0,0,0,0.18,0,0
0.82378,0,0,0,0,0,0,0,0,0,0,0,0,0.43093,0.0022429,0,0.43094,0,0,0,45,0,0,0,0.19,0,0
0.81519,0,0,0,0,0,0,0,0,0,0,0,0,0.42814,0.0019502,0,0.42815,0,0,0,45,0,0,0,0.2,0,0
0.80665,0,0,0,0,0,0,0,0,0,0,0,0,0.42577,0.0016228,0,0.42578,0,0,0,45,0,0,0,0.21,0,0
0.79816,0,0,0,0,0,0,0,0,0,0,0,0,0.42386,0.0012666,0,0.42386,0,0,0,45,0,0,0,0.22,0,0
0.7897,0,0,0,0,0,0,0,0,0,0,0,0,0.42243,0.00088828,0,0.42243,0,0,0,45,0,0,0,0.23,0,0
0.78126,0,0,0,0,0,0,0,0,0,0,0,0,0.42151,0.00049465,0,0.42151,0,0,0,45,0,0,0,0.24,0,0
0.77284,0,0,0,0,0,0,0,0,0,0,0,0,0.42112,9.2795e-05,0,0.42112,0,0,0,45,0,0,0,0.25,0,0
0.76442,0,0,0,0,0,0,0,0,0,0,0,0,0.42126,-0.00031019,0,0.42126,0,0,0,45,0,0,0,0.26,0,0
0.75599,0,0,0,0,0,0,0,0,0,0,0,0,0.42194,-0.00070734,0,0.42194,0,0,0,45,0,0,0,0.27,0,0
0.74754,0,0,0,0,0,0,0,0,0,0,0,0,0.42313,-0.0010919,0,0.42313,0,0,0,45,0,0,0,0.28,0,0
0.73906,0,0,0,0,0,0,0,0,0,0,0,0,0.42482,-0.0014577,0,0.42483,0,0,0,45,0,0,0,0.29,0,0
0.73054,0,0,0,0,0,0,0,0,0,0,0,0,0.42699,-0.0017989,0,0.42699,0,0,0,45,0,0,0,0.3,0,0
0.72198,0,0,0,0,0,0,0,0,0,0,0,0,0.42958,-0.0021106,0,0.42959,0,0,0,45,0,0,0,0.31,0,0
0.71336,0,0,0,0,0,0,0,0,0,0,0,0,0.43257,-0.0023889,0,0.43258,0,0,0,45,0,0,0,0.32,0,0
0.70468,0,0,0,0,0,0,0,0,0,0,0,0,0.4359,-0.0026309,0,0.43591,0,0,0,45,0,0,0,0.33,0,0
0.69593,0,0,0,0,0,0,0,0,0,0,0,0,0.43953,-0.002835,0,0.43955,0,0,0,45,0,0,0,0.34,0,0
0.6871,0,0,0,0,0,0,0,0,0,0,0,0,0.44341,-0.0030005,0,0.44343,0,0,0,45,0,0,0,0.35,0,0
0.67819,0,0,0,0,0,0,0,0,0,0,0,0,0.44749,-0.003128,0,0.4475,0,0,0,45,0,0,0,0.36,0,0
0.6692,0,0,0,0,0,0,0,0,0,0,0,0,0.45171,-0.0032191,0,0.45172,0,0,0,45,0,0,0,0.37,0,0
0.66012,0,0,0,0,0,0,0,0,0,0,0,0,0.45602,-0.0032759,0,0.45604,0,0,0,45,0,0,0,0.38,0,0
0.65096,0,0,0,0,0,0,0,0,0,0,0,0,0.4604,-0.0033014,0,0.46042,0,0,0,45,0,0,0,0.39,0,0
0.6417,0,0,0,0,0,0,0,0,0,0,0,0,0.46479,-0.0032987,0,0.46481,0,0,0,45,0,0,0,0.4,0,0
0.63237,0,0,0,0,0,0,0,0,0,0,0,0,0.46916,-0.0032714,0,0.46918,0,0,0,45,0,0,0,0.41,0,0
0.62294,0,0,0,0,0,0,0,0,0,0,0,0,0.47349,-0.003223,0,0.4735,0,0,0,45,0,0,0,0.42,0,0
0.61343,0,0,0,0,0,0,0,0,0,0,0,0,0.47773,-0.003157,0,0.47775,0,0,0,45,0,0,0,0.43,0,0
0.60383,0,0,0,0,0,0,0,0,0,0,0,0,0.48189,-0.0030768,0,0.4819,0,0,0,45,0,0,0,0.44,0,0
0.59415,0,0,0,0,0,0,0,0,0,0,0,0,0.48592,-0.0029853,0,0.48594,0,0,0,45,0,0,0,0.45,0,0
0.58439,0,0,0,0,0,0,0,0,0,0,0,0,0.48984,-0.0028855,0,0.48985,0,0,0,45,0,0,0,0.46,0,0
0.57456,0,0,0,0,0,0,0,0,0,0,0,0,0.49361,-0.0027798,0,0.49362,0,0,0,45,0,0,0,0.47,0,0
0.56465,0,0,0,0,0,0,0,0,0,0,0,0,0.49724,-0.0026704,0,0.49725,0,0,0,45,0,0,0,0.48,0,0
0.55467,0,0,0,0,0,0,0,0,0,0,0,0,0.50073,-0.0025591,0,0.50074,0,0,0,45,0,0,0,0.49,0,0
0.54462,0,0,0,0,0,0,0,0,0,0,0,0,0.50407,-0.0024474,0,0.50407,0,0,0,45,0,0,0,0.5,0,0
0.5345,0,0,0,0,0,0,0,0,0,0,0,0,0.50726,-0.0023367,0,0.50726,0,0,0,45,0,0,0,0.51,0,0
0.52433,0,0,0,0,0,0,0,0,0,0,0,0,0.5103,-0.0022278,0,0.51031,0,0,0,45,0,0,0,0.52,0,0
0.51409,0,0,0,0,0,0,0,0,0,0,0,0,0.5132,-0.0021215,0,0.51321,0,0,0,45,0,0,0,0.53,0,0
0.5038,0,0,0,0,0,0,0,0,0,0,0,0,0.51596,-0.0020185,0,0.51597,0,0,0,45,0,0,0,0.54,0,0
0.49345,0,0,0,0,0,0,0,0,0,0,0,0,0.51859,-0.001919,0,0.51859,0,0,0,45,0,0,0,0.55,0,0
0.48306,0,0,0,0,0,0,0,0,0,0,0,0,0.52108,-0.0018234,0,0.52109,0,0,0,45,0,0,0,0.56,0,0
0.47261,0,0,0,0,0,0,0,0,0,0,0,0,0.52346,-0.0017317,0,0.52346,0,0,0,45,0,0,0,0.57,0,0
0.46212,0,0,0,0,0,0,0,0,0,0,0,0,0.52571,-0.0016442,0,0.52571,0,0,0,45,0,0,0,0.58,0,0
0.45158,0,0,0,0,0,0,0,0,0,0,0,0,0.52785,-0.0015606,0,0.52785,0,0,0,45,0,0,0,0.59,0,0
